BRNCH_NME,MonthNam,ProdGroup,TotalAccounts,EOPBalance,AvgMTLBalnce
CBD BELAPUR,Mar 2017,SA,490,16987898.998535,8493949.4992676
CBD BELAPUR,Jul 2017,SA,484,22359642.536668,32125982.608041
CBD BELAPUR,Aug 2017,SA,504,30854684.286739,21837108.501484
CBD BELAPUR,Oct 2017,SA,573,38255965.231307,28738205.907155
CBD BELAPUR,Jan 2017,SA,102,4808349,6772639.6293945
CBD BELAPUR,Sep 2017,SA,1094,64208168.371082,49211501.221534
CBD BELAPUR,Feb 2017,SA,189,8990700.9892578,8409361.4360352
CBD BELAPUR,Apr 2017,SA,278,12636496.929932,11518081.818481
CBD BELAPUR,May 2017,SA,314,19597775.358179,13788771.29454
CBD BELAPUR,Jun 2017,SA,445,32132000.004728,28613440.799023
CHEMBUR BRANCH,Feb 2017,SA,20,214229,248897.37011719
CHEMBUR BRANCH,Mar 2017,SA,102,2021657.4199219,1010828.7099609
CHEMBUR BRANCH,May 2017,SA,91,6189349.4156494,5431012.4367447
CHEMBUR BRANCH,Apr 2017,SA,66,4104692.53125,3512442.53125
CHEMBUR BRANCH,Oct 2017,SA,162,25587899.636369,25722605.688255
CHEMBUR BRANCH,Aug 2017,SA,130,27541623.588972,23688211.562578
CHEMBUR BRANCH,Jul 2017,SA,117,14211115.398424,12852189.644318
CHEMBUR BRANCH,Sep 2017,SA,304,53536774.237179,51980655.255459
CHEMBUR BRANCH,Jun 2017,SA,107,10712321.79187,8405168.5118637
THANE BRANCH,Oct 2017,SA,170,15223245.222327,13104146.875855
THANE BRANCH,Sep 2017,SA,316,23502279.189236,21217260.715046
THANE BRANCH,Aug 2017,SA,133,9219625.0169547,9602668.2068081
THANE BRANCH,Jun 2017,SA,103,5764039.4893303,5716401.9303713
THANE BRANCH,Jul 2017,SA,122,7752185.5728264,7890250.9418411
THANE BRANCH,Mar 2017,SA,112,4286263.2001953,2105131.6000977
THANE BRANCH,Apr 2017,SA,69,1441291.6000977,1229295.8500977
THANE BRANCH,May 2017,SA,82,4265823.3398438,3403541.0094967
KOTHRUD PUNE BRANCH,Mar 2017,SA,246,9303832.0400391,4631916.0200195
KOTHRUD PUNE BRANCH,Oct 2017,SA,279,12785410.965889,10910507.888623
KOTHRUD PUNE BRANCH,Jun 2017,SA,172,9136436.0800488,9935899.5433258
KOTHRUD PUNE BRANCH,May 2017,SA,157,9348658.5802917,7462833.702666
KOTHRUD PUNE BRANCH,Sep 2017,SA,506,18368981.680364,18785341.739609
KOTHRUD PUNE BRANCH,Apr 2017,SA,130,5672386.0698242,4761676.0698242
KOTHRUD PUNE BRANCH,Jul 2017,SA,193,10388445.82654,11102755.298065
KOTHRUD PUNE BRANCH,Feb 2017,SA,65,1395523,1411359.5627327
KOTHRUD PUNE BRANCH,Aug 2017,SA,236,8516574.2727089,8750303.2857666
CHINCHWAD  PUNE BRANCH,Jul 2017,SA,190,9244877.2652397,8397215.7267456
CHINCHWAD  PUNE BRANCH,Sep 2017,SA,432,23539166.498131,20338059.185946
CHINCHWAD  PUNE BRANCH,Aug 2017,SA,165,8128441.9070778,8149254.1695671
CHINCHWAD  PUNE BRANCH,Oct 2017,SA,244,12786687.274551,11475551.792583
CHINCHWAD  PUNE BRANCH,Jun 2017,SA,144,6800019.0904312,6871248.939209
Alandi,Oct 2017,SA,135,5338730.7518631,5411444.656221
Alandi,Sep 2017,SA,230,11812221.084094,10569624.761951
Alandi,Aug 2017,SA,86,4594421.2600956,3877400.6342773
MHALUNGE BUS STOP  PUNE,Jul 2017,SA,32,226597.90859985,306526.93000793
MHALUNGE BUS STOP  PUNE,Sep 2017,SA,116,1039768.4396973,1315130.4526482
MHALUNGE BUS STOP  PUNE,Jun 2017,SA,24,156303.15869141,278002.9369812
MHALUNGE BUS STOP  PUNE,Aug 2017,SA,49,790161.22032928,461766.90856934
MHALUNGE BUS STOP  PUNE,Oct 2017,SA,74,648587.98960876,571641.45271695
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Jul 2017,SA,65,1905298.1796875,2272075.695797
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Aug 2017,SA,81,7202780.4238281,6667734.0480347
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Sep 2017,SA,176,8504449.1872559,9373737.8003321
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Jun 2017,SA,47,2052679.5,1978251.405899
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Oct 2017,SA,94,5498026.6907005,6401627.0970154
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Apr 2017,SA,18,630381,534131
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,May 2017,SA,29,1424553,1382783.7474022
KAMRAJ NAGAR  PUDUCHERRY,Jun 2017,SA,56,1171303.0228271,946474.53131104
KAMRAJ NAGAR  PUDUCHERRY,Oct 2017,SA,109,7853444.2070551,4326175.3365526
KAMRAJ NAGAR  PUDUCHERRY,Sep 2017,SA,180,4567892.4551773,5602450.5592346
KAMRAJ NAGAR  PUDUCHERRY,Aug 2017,SA,77,2531988.0074463,1620230.5013428
KAMRAJ NAGAR  PUDUCHERRY,Jul 2017,SA,66,917024.29967499,930634.50048828
KAMRAJ NAGAR  PUDUCHERRY,May 2017,SA,46,584543.5,705008.43243408
KAMRAJ NAGAR  PUDUCHERRY,Apr 2017,SA,29,514064,510106.5
NAVRANGPURA  AHMEDABAD,May 2017,SA,28,6654000,2479992.9113672
NAVRANGPURA  AHMEDABAD,Aug 2017,SA,115,15231776.111633,14560012.485809
NAVRANGPURA  AHMEDABAD,Jul 2017,SA,83,12809077.330078,12414645.356293
NAVRANGPURA  AHMEDABAD,Oct 2017,SA,186,24707313.286556,22267552.117668
NAVRANGPURA  AHMEDABAD,Sep 2017,SA,324,39500276.043015,45214503.371439
NAVRANGPURA  AHMEDABAD,Jun 2017,SA,48,9424859.3300781,9949135.5062704
T. NAGAR  CHENNAI,Sep 2017,SA,406,116935322.58427,100013531.92476
T. NAGAR  CHENNAI,Oct 2017,SA,235,65368860.329979,63787818.887321
T. NAGAR  CHENNAI,Aug 2017,SA,154,21153956.939842,13965982.780584
T. NAGAR  CHENNAI,Jul 2017,SA,100,4014735.8203125,6924037.8308801
T. NAGAR  CHENNAI,Jun 2017,SA,54,1616533.1601563,1221163.2801514
NEW PALASIA,Sep 2017,SA,280,6593269.7391109,4617493.1601257
NEW PALASIA,Oct 2017,SA,159,5092823.3585868,4337180.8130598
NEW PALASIA,Aug 2017,SA,97,1830692.991272,1705141.377533
SADASHIV PETH   PUNE,Oct 2017,SA,148,1891669.6064987,1695180.6657257
SADASHIV PETH   PUNE,Sep 2017,SA,278,3265406.1938858,2710057.1048279
