DayEndBal,YrMon,BRNCH_NME
53364050.21875,Sep 2017,HEAD OFFICE BELAPUR
1733630.5,May 2017,HEAD OFFICE BELAPUR
48486820.8125,Jul 2017,HEAD OFFICE BELAPUR
48638153.625,Oct 2017,HEAD OFFICE BELAPUR
51316461,Jun 2017,HEAD OFFICE BELAPUR
52115208.25,Aug 2017,HEAD OFFICE BELAPUR
200722,May 2017,CBD BELAPUR
15518668,Aug 2017,CBD BELAPUR
7697109,Jun 2017,CBD BELAPUR
13030091,Sep 2017,CBD BELAPUR
21112183,Oct 2017,CBD BELAPUR
14778508,Jul 2017,CBD BELAPUR
10824092,Jun 2017,CHEMBUR BRANCH
125687,May 2017,CHEMBUR BRANCH
7793752,Jul 2017,CHEMBUR BRANCH
7284347,Aug 2017,CHEMBUR BRANCH
5763513,Sep 2017,CHEMBUR BRANCH
13060881,Oct 2017,CHEMBUR BRANCH
3087487,Jul 2017,THANE BRANCH
4981559,Sep 2017,THANE BRANCH
3501657,Jun 2017,THANE BRANCH
112384,May 2017,THANE BRANCH
6976795,Oct 2017,THANE BRANCH
7812782,Aug 2017,THANE BRANCH
736683,May 2017,KOTHRUD PUNE BRANCH
19604526,Jul 2017,KOTHRUD PUNE BRANCH
28930680,Sep 2017,KOTHRUD PUNE BRANCH
13168122,Jun 2017,KOTHRUD PUNE BRANCH
22838632,Aug 2017,KOTHRUD PUNE BRANCH
34694193,Oct 2017,KOTHRUD PUNE BRANCH
13703490,Jul 2017,CHINCHWAD  PUNE BRANCH
29647565,Aug 2017,CHINCHWAD  PUNE BRANCH
792890,May 2017,CHINCHWAD  PUNE BRANCH
31820400,Jun 2017,CHINCHWAD  PUNE BRANCH
35146294,Oct 2017,CHINCHWAD  PUNE BRANCH
40092073,Sep 2017,CHINCHWAD  PUNE BRANCH
9211207,Aug 2017,SADASHIV PETH   PUNE
12948939,Oct 2017,SADASHIV PETH   PUNE
9369680,Jun 2017,SADASHIV PETH   PUNE
10778425,Jul 2017,SADASHIV PETH   PUNE
192400,May 2017,SADASHIV PETH   PUNE
9839166,Sep 2017,SADASHIV PETH   PUNE
2418582,Jun 2017,NAVRANGPURA  AHMEDABAD
12488826,Aug 2017,NAVRANGPURA  AHMEDABAD
11870269,Oct 2017,NAVRANGPURA  AHMEDABAD
4816148,Jul 2017,NAVRANGPURA  AHMEDABAD
46230,May 2017,NAVRANGPURA  AHMEDABAD
14168283,Sep 2017,NAVRANGPURA  AHMEDABAD
8342879,Aug 2017,NEW PALASIA
6149600,Sep 2017,NEW PALASIA
2286800,Jun 2017,NEW PALASIA
12099472,Oct 2017,NEW PALASIA
7107030,Jul 2017,NEW PALASIA
12639560,Oct 2017,KAMRAJ NAGAR  PUDUCHERRY
179290,May 2017,KAMRAJ NAGAR  PUDUCHERRY
8381695,Sep 2017,KAMRAJ NAGAR  PUDUCHERRY
8191748,Jun 2017,KAMRAJ NAGAR  PUDUCHERRY
3258519,Aug 2017,KAMRAJ NAGAR  PUDUCHERRY
2561556,Jul 2017,KAMRAJ NAGAR  PUDUCHERRY
19198037,Jul 2017,PULLIYAKULAM ROAD   COIMBATORE
25278243,Jun 2017,PULLIYAKULAM ROAD   COIMBATORE
14816432,Aug 2017,PULLIYAKULAM ROAD   COIMBATORE
10665751,Sep 2017,PULLIYAKULAM ROAD   COIMBATORE
758561,May 2017,PULLIYAKULAM ROAD   COIMBATORE
18828621,Oct 2017,PULLIYAKULAM ROAD   COIMBATORE
13459319,Jun 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI
14470440,Sep 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI
15467749,Jul 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI
10210799,Aug 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI
17423161,Oct 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI
203435,May 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI
18554507,Oct 2017,T. NAGAR  CHENNAI
5148375,Jun 2017,T. NAGAR  CHENNAI
6915183,Jul 2017,T. NAGAR  CHENNAI
207600,May 2017,T. NAGAR  CHENNAI
13127343,Sep 2017,T. NAGAR  CHENNAI
12898101,Aug 2017,T. NAGAR  CHENNAI
6032600,Aug 2017,MHALUNGE BUS STOP  PUNE
13000,May 2017,MHALUNGE BUS STOP  PUNE
7397650,Sep 2017,MHALUNGE BUS STOP  PUNE
3058000,Jul 2017,MHALUNGE BUS STOP  PUNE
12108686,Oct 2017,MHALUNGE BUS STOP  PUNE
1510000,Jun 2017,MHALUNGE BUS STOP  PUNE
45487468,Oct 2017,Varale
35594448,Sep 2017,Varale
27396715,Aug 2017,Varale
3049290,Jul 2017,Varale
3420680,Aug 2017,Wadachiwadi
14000,Jul 2017,Wadachiwadi
7435424,Sep 2017,Wadachiwadi
9399640,Oct 2017,Wadachiwadi
16471960,Aug 2017,Alandi
17253220,Sep 2017,Alandi
41178220,Oct 2017,Alandi
895500,Jul 2017,Alandi
4933600,Oct 2017,NERUL BRANCH
5400000,Oct 2017,TAMBARAM  CHENNAI
