BRNCH_NME,ProdGroup,ChannelFlag,ModeofT,TxnType,AS_ON_DATE_YrMon,TxnValue,TxnCount
CBD BELAPUR,SA,MB,Digital,NEFT,Sep 2017,2673283,115
CBD BELAPUR,SA,IB,Digital,NEFT,Sep 2017,2657939,102
CBD BELAPUR,SA,NEFT/IMPS/RTGS,Branch,NEFT,Oct 2017,488329,26
KOTHRUD PUNE BRANCH,SA,MB,Digital,NEFT,Sep 2017,113159,12
CBD BELAPUR,SA,IB,Digital,NEFT,Oct 2017,1596980,76
CBD BELAPUR,SA,MB,Digital,NEFT,Aug 2017,3178401,51
CHEMBUR BRANCH,SA,MB,Digital,NEFT,Jun 2017,269000,4
T. NAGAR  CHENNAI,SA,IB,Digital,NEFT,Oct 2017,1391140,14
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,MB,Digital,NEFT,Oct 2017,97604,14
Wadachiwadi,SA,NEFT/IMPS/RTGS,Branch,NEFT,Sep 2017,3000,1
THANE BRANCH,SA,MB,Digital,NEFT,Oct 2017,6000,3
CBD BELAPUR,SA,MB,Digital,NEFT,Oct 2017,3956395,136
PULLIYAKULAM ROAD   COIMBATORE,SA,IB,Digital,NEFT,Oct 2017,323660,6
CBD BELAPUR,SA,IB,Digital,NEFT,Jul 2017,1068293,15
CBD BELAPUR,SA,NEFT/IMPS/RTGS,Branch,NEFT,Jul 2017,114636,7
CBD BELAPUR,SA,MB,Digital,NEFT,Jul 2017,1372720,31
NAVRANGPURA  AHMEDABAD,SA,IB,Digital,NEFT,Oct 2017,92300,6
THANE BRANCH,SA,NEFT/IMPS/RTGS,Branch,NEFT,Jul 2017,189195,3
CBD BELAPUR,SA,IB,Digital,NEFT,Aug 2017,1114720,30
SADASHIV PETH   PUNE,SA,NEFT/IMPS/RTGS,Branch,NEFT,Aug 2017,10000,2
NAVRANGPURA  AHMEDABAD,SA,IB,Digital,NEFT,Sep 2017,205391,12
MHALUNGE BUS STOP  PUNE,SA,IB,Digital,NEFT,Aug 2017,10000,1
SADASHIV PETH   PUNE,SA,NEFT/IMPS/RTGS,Branch,NEFT,Sep 2017,197400,5
KOTHRUD PUNE BRANCH,SA,NEFT/IMPS/RTGS,Branch,NEFT,Aug 2017,300000,2
CBD BELAPUR,SA,NEFT/IMPS/RTGS,Branch,NEFT,Sep 2017,632542,52
SADASHIV PETH   PUNE,SA,IB,Digital,NEFT,Jul 2017,188004,7
CHINCHWAD  PUNE BRANCH,SA,NEFT/IMPS/RTGS,Branch,NEFT,Jul 2017,343448.8,6
CBD BELAPUR,SA,IB,Digital,NEFT,Jun 2017,1203069,23
THANE BRANCH,SA,IB,Digital,NEFT,Jun 2017,7000,3
Alandi,SA,NEFT/IMPS/RTGS,Branch,NEFT,Sep 2017,13000,2
THANE BRANCH,SA,NEFT/IMPS/RTGS,Branch,NEFT,Jun 2017,45500,4
CBD BELAPUR,SA,NEFT/IMPS/RTGS,Branch,NEFT,Aug 2017,175700,10
SADASHIV PETH   PUNE,SA,MB,Digital,NEFT,Jul 2017,40060,3
THANE BRANCH,SA,NEFT/IMPS/RTGS,Branch,NEFT,Aug 2017,141500,5
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,MB,Digital,NEFT,Sep 2017,116716,7
THANE BRANCH,SA,IB,Digital,NEFT,Sep 2017,615400,9
KOTHRUD PUNE BRANCH,SA,MB,Digital,NEFT,Jun 2017,73303,9
SADASHIV PETH   PUNE,SA,IB,Digital,NEFT,Sep 2017,146040,7
Varale,SA,MB,Digital,NEFT,Aug 2017,68001,6
SADASHIV PETH   PUNE,SA,IB,Digital,NEFT,Oct 2017,276474,10
CHEMBUR BRANCH,SA,IB,Digital,NEFT,Aug 2017,452180,8
CHINCHWAD  PUNE BRANCH,SA,MB,Digital,NEFT,Sep 2017,195781,8
Varale,SA,NEFT/IMPS/RTGS,Branch,NEFT,Oct 2017,40000,1
PULLIYAKULAM ROAD   COIMBATORE,SA,MB,Digital,NEFT,Jun 2017,400000,2
Varale,SA,MB,Digital,NEFT,Oct 2017,56000,5
Varale,SA,MB,Digital,NEFT,Sep 2017,19001,5
THANE BRANCH,SA,MB,Digital,NEFT,Sep 2017,240000,6
MHALUNGE BUS STOP  PUNE,SA,MB,Digital,NEFT,Oct 2017,114000,5
CHEMBUR BRANCH,SA,NEFT/IMPS/RTGS,Branch,NEFT,Aug 2017,1055000,5
THANE BRANCH,SA,NEFT/IMPS/RTGS,Branch,NEFT,Sep 2017,32000,3
Wadachiwadi,SA,IB,Digital,NEFT,Sep 2017,116000,4
PULLIYAKULAM ROAD   COIMBATORE,SA,MB,Digital,NEFT,Sep 2017,100100,3
KOTHRUD PUNE BRANCH,SA,MB,Digital,NEFT,Aug 2017,212500,9
KOTHRUD PUNE BRANCH,SA,NEFT/IMPS/RTGS,Branch,NEFT,Jun 2017,804749,8
NAVRANGPURA  AHMEDABAD,SA,MB,Digital,NEFT,Aug 2017,8500,3
SADASHIV PETH   PUNE,SA,MB,Digital,NEFT,Oct 2017,216500,14
Wadachiwadi,SA,MB,Digital,NEFT,Oct 2017,2000,1
