AsOnYrMonName,BName,CustCount
Mar 2017,CBD BELAPUR,321
Jul 2017,CBD BELAPUR,660
Aug 2017,CBD BELAPUR,710
Oct 2017,CBD BELAPUR,812
Jan 2017,CBD BELAPUR,102
Sep 2017,CBD BELAPUR,773
Feb 2017,CBD BELAPUR,214
Apr 2017,CBD BELAPUR,373
May 2017,CBD BELAPUR,429
Jun 2017,CBD BELAPUR,589
Feb 2017,CHEMBUR BRANCH,29
Mar 2017,CHEMBUR BRANCH,80
May 2017,CHEMBUR BRANCH,169
Apr 2017,CHEMBUR BRANCH,126
Oct 2017,CHEMBUR BRANCH,364
Aug 2017,CHEMBUR BRANCH,289
Jul 2017,CHEMBUR BRANCH,246
Sep 2017,CHEMBUR BRANCH,342
Jun 2017,CHEMBUR BRANCH,206
Oct 2017,THANE BRANCH,337
Sep 2017,THANE BRANCH,313
Aug 2017,THANE BRANCH,273
Jun 2017,THANE BRANCH,174
Jul 2017,THANE BRANCH,232
Mar 2017,THANE BRANCH,81
Apr 2017,THANE BRANCH,109
May 2017,THANE BRANCH,140
Mar 2017,KOTHRUD PUNE BRANCH,199
Oct 2017,KOTHRUD PUNE BRANCH,402
Jun 2017,KOTHRUD PUNE BRANCH,261
May 2017,KOTHRUD PUNE BRANCH,239
Sep 2017,KOTHRUD PUNE BRANCH,368
Apr 2017,KOTHRUD PUNE BRANCH,216
Jul 2017,KOTHRUD PUNE BRANCH,299
Feb 2017,KOTHRUD PUNE BRANCH,102
Aug 2017,KOTHRUD PUNE BRANCH,341
Jul 2017,CHINCHWAD  PUNE BRANCH,271
Sep 2017,CHINCHWAD  PUNE BRANCH,347
Aug 2017,CHINCHWAD  PUNE BRANCH,269
Oct 2017,CHINCHWAD  PUNE BRANCH,397
Jun 2017,CHINCHWAD  PUNE BRANCH,198
Oct 2017,Alandi,145
Sep 2017,Alandi,120
Aug 2017,Alandi,92
Jul 2017,MHALUNGE BUS STOP  PUNE,57
Sep 2017,MHALUNGE BUS STOP  PUNE,94
Jun 2017,MHALUNGE BUS STOP  PUNE,43
Aug 2017,MHALUNGE BUS STOP  PUNE,82
Oct 2017,MHALUNGE BUS STOP  PUNE,109
Jul 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,109
Aug 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,133
Sep 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,151
Jun 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,83
Oct 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,163
Apr 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,25
May 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,51
Jun 2017,KAMRAJ NAGAR  PUDUCHERRY,68
Oct 2017,KAMRAJ NAGAR  PUDUCHERRY,150
Sep 2017,KAMRAJ NAGAR  PUDUCHERRY,124
Aug 2017,KAMRAJ NAGAR  PUDUCHERRY,104
Jul 2017,KAMRAJ NAGAR  PUDUCHERRY,86
May 2017,KAMRAJ NAGAR  PUDUCHERRY,55
Apr 2017,KAMRAJ NAGAR  PUDUCHERRY,33
May 2017,NAVRANGPURA  AHMEDABAD,53
Aug 2017,NAVRANGPURA  AHMEDABAD,257
Jul 2017,NAVRANGPURA  AHMEDABAD,175
Oct 2017,NAVRANGPURA  AHMEDABAD,387
Sep 2017,NAVRANGPURA  AHMEDABAD,340
Jun 2017,NAVRANGPURA  AHMEDABAD,102
Sep 2017,T. NAGAR  CHENNAI,461
Oct 2017,T. NAGAR  CHENNAI,511
Aug 2017,T. NAGAR  CHENNAI,360
Jul 2017,T. NAGAR  CHENNAI,265
Jun 2017,T. NAGAR  CHENNAI,174
Sep 2017,NEW PALASIA,187
Oct 2017,NEW PALASIA,216
Aug 2017,NEW PALASIA,134
Oct 2017,SADASHIV PETH   PUNE,194
Sep 2017,SADASHIV PETH   PUNE,184
Aug 2017,SADASHIV PETH   PUNE,178
Jul 2017,SADASHIV PETH   PUNE,140
Jun 2017,SADASHIV PETH   PUNE,112
Jun 2017,NEW PALASIA,90
Jul 2017,NEW PALASIA,113
Sep 2017,Wadachiwadi,88
Oct 2017,Wadachiwadi,115
Oct 2017,PULLIYAKULAM ROAD   COIMBATORE,226
Jun 2017,PULLIYAKULAM ROAD   COIMBATORE,84
Aug 2017,PULLIYAKULAM ROAD   COIMBATORE,149
Sep 2017,PULLIYAKULAM ROAD   COIMBATORE,200
Jul 2017,PULLIYAKULAM ROAD   COIMBATORE,119
Aug 2017,Wadachiwadi,48
Oct 2017,NERUL BRANCH,37
May 2017,NEW PALASIA,50
Apr 2017,NAVRANGPURA  AHMEDABAD,9
May 2017,PULLIYAKULAM ROAD   COIMBATORE,44
Apr 2017,PULLIYAKULAM ROAD   COIMBATORE,16
Oct 2017,TAMBARAM  CHENNAI,20
Sep 2017,Varale,150
Oct 2017,Varale,179
May 2017,T. NAGAR  CHENNAI,115
Apr 2017,T. NAGAR  CHENNAI,53
Feb 2017,THANE BRANCH,25
May 2017,CHINCHWAD  PUNE BRANCH,131
Apr 2017,CHINCHWAD  PUNE BRANCH,62
May 2017,MHALUNGE BUS STOP  PUNE,12
Apr 2017,MHALUNGE BUS STOP  PUNE,7
Apr 2017,SADASHIV PETH   PUNE,37
