CustCount,YrMon_AsOnDate,BRNCH_NME,ProdGroup
482,Jul 2017,CBD BELAPUR,SA
502,Aug 2017,CBD BELAPUR,SA
567,Oct 2017,CBD BELAPUR,SA
102,Jan 2017,CBD BELAPUR,SA
189,Feb 2017,CBD BELAPUR,SA
278,Apr 2017,CBD BELAPUR,SA
314,May 2017,CBD BELAPUR,SA
445,Jun 2017,CBD BELAPUR,SA
20,Feb 2017,CHEMBUR BRANCH,SA
91,May 2017,CHEMBUR BRANCH,SA
66,Apr 2017,CHEMBUR BRANCH,SA
162,Oct 2017,CHEMBUR BRANCH,SA
130,Aug 2017,CHEMBUR BRANCH,SA
117,Jul 2017,CHEMBUR BRANCH,SA
107,Jun 2017,CHEMBUR BRANCH,SA
168,Oct 2017,THANE BRANCH,SA
133,Aug 2017,THANE BRANCH,SA
103,Jun 2017,THANE BRANCH,SA
122,Jul 2017,THANE BRANCH,SA
69,Apr 2017,THANE BRANCH,SA
82,May 2017,THANE BRANCH,SA
279,Oct 2017,KOTHRUD PUNE BRANCH,SA
172,Jun 2017,KOTHRUD PUNE BRANCH,SA
155,May 2017,KOTHRUD PUNE BRANCH,SA
128,Apr 2017,KOTHRUD PUNE BRANCH,SA
193,Jul 2017,KOTHRUD PUNE BRANCH,SA
65,Feb 2017,KOTHRUD PUNE BRANCH,SA
236,Aug 2017,KOTHRUD PUNE BRANCH,SA
190,Jul 2017,CHINCHWAD  PUNE BRANCH,SA
165,Aug 2017,CHINCHWAD  PUNE BRANCH,SA
244,Oct 2017,CHINCHWAD  PUNE BRANCH,SA
144,Jun 2017,CHINCHWAD  PUNE BRANCH,SA
135,Oct 2017,Alandi,SA
86,Aug 2017,Alandi,SA
32,Jul 2017,MHALUNGE BUS STOP  PUNE,SA
24,Jun 2017,MHALUNGE BUS STOP  PUNE,SA
49,Aug 2017,MHALUNGE BUS STOP  PUNE,SA
74,Oct 2017,MHALUNGE BUS STOP  PUNE,SA
65,Jul 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA
81,Aug 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA
47,Jun 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA
94,Oct 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA
18,Apr 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA
29,May 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA
56,Jun 2017,KAMRAJ NAGAR  PUDUCHERRY,SA
109,Oct 2017,KAMRAJ NAGAR  PUDUCHERRY,SA
77,Aug 2017,KAMRAJ NAGAR  PUDUCHERRY,SA
66,Jul 2017,KAMRAJ NAGAR  PUDUCHERRY,SA
46,May 2017,KAMRAJ NAGAR  PUDUCHERRY,SA
29,Apr 2017,KAMRAJ NAGAR  PUDUCHERRY,SA
26,May 2017,NAVRANGPURA  AHMEDABAD,SA
113,Aug 2017,NAVRANGPURA  AHMEDABAD,SA
81,Jul 2017,NAVRANGPURA  AHMEDABAD,SA
184,Oct 2017,NAVRANGPURA  AHMEDABAD,SA
46,Jun 2017,NAVRANGPURA  AHMEDABAD,SA
235,Oct 2017,T. NAGAR  CHENNAI,SA
154,Aug 2017,T. NAGAR  CHENNAI,SA
100,Jul 2017,T. NAGAR  CHENNAI,SA
54,Jun 2017,T. NAGAR  CHENNAI,SA
159,Oct 2017,NEW PALASIA,SA
97,Aug 2017,NEW PALASIA,SA
148,Oct 2017,SADASHIV PETH   PUNE,SA
132,Aug 2017,SADASHIV PETH   PUNE,SA
100,Jul 2017,SADASHIV PETH   PUNE,SA
79,Jun 2017,SADASHIV PETH   PUNE,SA
67,Jun 2017,NEW PALASIA,SA
82,Jul 2017,NEW PALASIA,SA
93,Oct 2017,Wadachiwadi,SA
143,Oct 2017,PULLIYAKULAM ROAD   COIMBATORE,SA
59,Jun 2017,PULLIYAKULAM ROAD   COIMBATORE,SA
99,Aug 2017,PULLIYAKULAM ROAD   COIMBATORE,SA
79,Jul 2017,PULLIYAKULAM ROAD   COIMBATORE,SA
39,Aug 2017,Wadachiwadi,SA
29,Oct 2017,NERUL BRANCH,SA
35,May 2017,NEW PALASIA,SA
4,Apr 2017,NAVRANGPURA  AHMEDABAD,SA
29,May 2017,PULLIYAKULAM ROAD   COIMBATORE,SA
